sample_id	fastq_r1	fastq_r2	bam	star_log	sj_tab	layout	condition
RNA032013	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032013_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032013_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032013/RNA032013.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032013/RNA032013.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032013/RNA032013.SJ.out.tab	PE	CONTROL
RNA032028	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032028_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032028_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032028/RNA032028.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032028/RNA032028.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032028/RNA032028.SJ.out.tab	PE	CONTROL
RNA032033	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032033_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032033_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032033/RNA032033.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032033/RNA032033.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032033/RNA032033.SJ.out.tab	PE	CONTROL
RNA032051	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032051_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032051_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032051/RNA032051.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032051/RNA032051.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032051/RNA032051.SJ.out.tab	PE	CONTROL
RNA032055	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032055_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032055_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032055/RNA032055.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032055/RNA032055.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032055/RNA032055.SJ.out.tab	PE	CONTROL
RNA032011	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032011_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032011_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032011/RNA032011.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032011/RNA032011.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032011/RNA032011.SJ.out.tab	PE	PRAD
RNA032012	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032012_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032012_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032012/RNA032012.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032012/RNA032012.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032012/RNA032012.SJ.out.tab	PE	PRAD
RNA032014	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032014_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032014_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032014/RNA032014.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032014/RNA032014.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032014/RNA032014.SJ.out.tab	PE	PRAD
RNA032015	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032015_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032015_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032015/RNA032015.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032015/RNA032015.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032015/RNA032015.SJ.out.tab	PE	PRAD
RNA032025	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032025_1.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/fastq/RNA032025_2.fastq.gz	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032025/RNA032025.Aligned.sortedByCoord.out.bam	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032025/RNA032025.Log.final.out	/scratch/gent/vo/000/gvo00027/projects/MHB/Cohort_A/map/RNA032025/RNA032025.SJ.out.tab	PE	PRAD
