ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name
ENSG00000225661	RPL14P5	processed_pseudogene	X
ENSG00000235039	MTND6P12	processed_pseudogene	X
ENSG00000238193	HADHBP1	processed_pseudogene	X
ENSG00000236188	PRKX-AS1	lncRNA	X
ENSG00000228572	""	unprocessed_pseudogene	X
ENSG00000236513	""	lncRNA	X
ENSG00000225574	DRAXINP1	processed_pseudogene	X
ENSG00000177504	VCX2	protein_coding	X
ENSG00000231619	ANAPC15P1	processed_pseudogene	X
ENSG00000231216	""	lncRNA	X
ENSG00000225271	NOLC1P1	processed_pseudogene	X
ENSG00000237730	RPS5P8	processed_pseudogene	X
ENSG00000226313	MTCYBP12	processed_pseudogene	X
ENSG00000182888	RPS27AP20	processed_pseudogene	X
ENSG00000215313	RPL6P30	processed_pseudogene	X
ENSG00000125363	AMELX	protein_coding	X
ENSG00000223571	DHRSX-IT1	lncRNA	X
ENSG00000169084	DHRSX	protein_coding	X
ENSG00000231913	RARRES2P3	processed_pseudogene	X
ENSG00000275194	FAM9CP1	unprocessed_pseudogene	X
ENSG00000225722	RPL24P9	processed_pseudogene	X
ENSG00000177138	FAM9B	protein_coding	X
ENSG00000226774	HIKESHIP1	processed_pseudogene	X
ENSG00000276467	""	unprocessed_pseudogene	X
ENSG00000232392	GOT2P7	processed_pseudogene	X
ENSG00000225384	""	processed_pseudogene	X
ENSG00000183304	FAM9A	protein_coding	X
ENSG00000235592	""	unprocessed_pseudogene	X
ENSG00000226179	LINC00685	lncRNA	X
ENSG00000283400	""	lncRNA	X
ENSG00000126010	GRPR	protein_coding	X
ENSG00000283631	""	lncRNA	X
ENSG00000235211	TMSB10P2	processed_pseudogene	X
ENSG00000177324	BEND2	protein_coding	X
ENSG00000236929	RPL35AP37	processed_pseudogene	X
ENSG00000233247	UBE2E4P	processed_pseudogene	X
ENSG00000225066	MDM4P1	processed_pseudogene	X
ENSG00000219870	BRK1P1	processed_pseudogene	X
ENSG00000236072	SRSF2P1	processed_pseudogene	X
ENSG00000185915	KLHL34	protein_coding	X
ENSG00000149970	CNKSR2	protein_coding	X
ENSG00000234191	LINC01283	lncRNA	X
ENSG00000273704	""	unprocessed_pseudogene	X
ENSG00000235071	""	processed_pseudogene	X
ENSG00000176812	METTL1P1	processed_pseudogene	X
ENSG00000224339	SC4MOP	processed_pseudogene	X
ENSG00000237782	PLLPP1	processed_pseudogene	X
ENSG00000233921	RPS15AP40	processed_pseudogene	X
ENSG00000229384	HMGB1P16	processed_pseudogene	X
ENSG00000271136	""	processed_pseudogene	X
ENSG00000235587	GAPDHP65	processed_pseudogene	X
ENSG00000233571	""	lncRNA	X
ENSG00000213997	PGAM1P7	processed_pseudogene	X
ENSG00000286306	""	lncRNA	X
ENSG00000214019	RBM39P1	processed_pseudogene	X
ENSG00000228232	GAPDHP1	processed_pseudogene	X
ENSG00000169906	S100G	protein_coding	X
ENSG00000270499	MKI67P1	processed_pseudogene	X
ENSG00000229347	""	processed_pseudogene	X
ENSG00000187516	H2AP	protein_coding	X
ENSG00000233810	MOB1AP2	processed_pseudogene	X
ENSG00000230227	SIAH1P1	processed_pseudogene	X
ENSG00000182798	MAGEB17	protein_coding	X
ENSG00000229310	RPP40P1	processed_pseudogene	X
ENSG00000232834	""	processed_pseudogene	X
ENSG00000235685	""	processed_pseudogene	X
ENSG00000233663	""	processed_pseudogene	X
ENSG00000189132	FAM47B	protein_coding	X
ENSG00000231235	CTNNBL1P1	processed_pseudogene	X
ENSG00000226048	YBX1P8	processed_pseudogene	X
ENSG00000181977	PYY3	processed_pseudogene	X
ENSG00000271088	""	processed_pseudogene	X
ENSG00000231750	NANOGP10	processed_pseudogene	X
ENSG00000233880	NFYCP1	processed_pseudogene	X
ENSG00000233543	CHTF8P1	processed_pseudogene	X
ENSG00000230039	CCNYL5	processed_pseudogene	X
ENSG00000275681	""	unprocessed_pseudogene	X
ENSG00000276474	""	processed_pseudogene	X
ENSG00000215284	CHMP5P1	processed_pseudogene	X
ENSG00000177689	MAGEB10	protein_coding	X
ENSG00000228345	""	processed_pseudogene	X
ENSG00000276689	""	processed_pseudogene	X
ENSG00000271519	""	processed_pseudogene	X
ENSG00000231772	""	lncRNA	X
ENSG00000102313	ITIH6	protein_coding	X
ENSG00000102043	MTMR8	protein_coding	X
ENSG00000237311	""	lncRNA	X
ENSG00000234570	ZFRP1	processed_pseudogene	X
ENSG00000277516	""	unprocessed_pseudogene	X
ENSG00000008086	CDKL5	protein_coding	X
ENSG00000165164	CFAP47	protein_coding	X
ENSG00000236852	SSBL2P	processed_pseudogene	X
ENSG00000229731	""	processed_pseudogene	X
ENSG00000268994	FAM236B	protein_coding	X
ENSG00000230797	YY2	protein_coding	X
ENSG00000233833	ETF1P3	processed_pseudogene	X
ENSG00000227261	YWHAZP7	processed_pseudogene	X
ENSG00000277499	""	processed_pseudogene	X
ENSG00000147081	AKAP4	protein_coding	X
ENSG00000225664	YWHAZP8	processed_pseudogene	X
ENSG00000213754	KPNA4P1	processed_pseudogene	X
